"WarNum","WarName","StartYear1","EndYear1"
1,"Franco-Spanish War",1823,1823
4,"First Russo-Turkish",1828,1829
7,"Mexican-American",1846,1847
10,"Austro-Sardinian",1848,1848
13,"First Schleswig-Holstein",1848,1848
16,"Roman Republic",1849,1849
19,"La Plata",1851,1852
22,"Crimean",1853,1856
25,"Anglo-Persian",1856,1857
28,"Italian Unification",1859,1859
31,"First Spanish-Moroccan",1859,1860
34,"Italian-Roman",1860,1860
37,"Neapolitan",1860,1861
40,"Franco-Mexican",1862,1867
43,"Ecuadorian-Colombian",1863,1863
46,"Second Schleswig-Holstein",1864,1864
49,"Lopez",1865,1870
52,"Naval War",1865,1866
55,"Seven Weeks",1866,1866
58,"Franco-Prussian",1870,1870
60,"First Central American",1876,1876
61,"Second Russo-Turkish",1877,1878
64,"War of the Pacific",1879,1883
65,"Conquest of Egypt",1882,1882
67,"Sino-French",1884,1885
70,"Second Central American",1885,1885
73,"First Sino-Japanese",1894,1895
76,"Greco-Turkish",1897,1897
79,"Spanish-American",1898,1898
82,"Boxer Rebellion",1900,1900
83,"Sino-Russian",1900,1900
85,"Russo-Japanese",1904,1905
88,"Third Central American",1906,1906
91,"Fourth Central American",1907,1907
94,"Second Spanish-Moroccan",1909,1910
97,"Italian-Turkish",1911,1912
100,"First Balkan",1912,1913
103,"Second Balkan",1913,1913
106,"World War I",1914,1918
107,"Estonian Liberation",1918,1920
108,"Latvian Liberation",1918,1919
109,"Russo-Polish",1919,1920
112,"Hungarian Adversaries",1919,1919
115,"Second Greco-Turkish",1919,1922
116,"Franco-Turkish",1919,1921
117,"Lithuanian-Polish",1920,1920
118,"Manchurian",1929,1929
121,"Second Sino-Japanese",1931,1933
124,"Chaco",1932,1935
125,"Saudi-Yemeni",1934,1934
127,"Conquest of Ethiopia",1935,1936
130,"Third Sino-Japanese",1937,1941
133,"Changkufeng",1938,1938
136,"Nomonhan",1939,1939
139,"World War II",1941,1945
142,"Russo-Finnish",1939,1940
145,"Franco-Thai",1940,1941
147,"First Kashmir",1947,1949
148,"Arab-Israeli",1948,1948
151,"Korean",1950,1953
153,"Off-shore Islands",1954,1955
155,"Sinai War",1956,1956
156,"Soviet Invasion of Hungary",1956,1956
158,"IfniWar",1958,1958
159,"Taiwan Straits",1958,1958
160,"Assam",1962,1962
163,"Vietnam War, Phase 2",1965,1973
166,"Second Kashmir",1965,1965
169,"Six Day War",1967,1967
170,"Second Laotian, Phase 2",1968,1973
172,"War of Attrition",1969,1970
175,"Football War",1969,1969
176,"Communist Coalition",1970,1971
178,"Bangladesh",1971,1971
181,"Yom Kippur War",1973,1973
184,"Turco-Cypriot",1974,1974
186,"War over Angola",1975,1976
187,"Second Ogaden War, Phase 2",1977,1978
189,"Vietnamese-Cambodian",1977,1979
190,"Ugandian-Tanzanian",1978,1979
193,"Sino-Vietnamese Punitive",1979,1979
199,"Iran-Iraq",1980,1988
202,"Falkland Islands",1982,1982
205,"War over Lebanon",1982,1982
207,"War over the Aouzou Strip",1986,1987
208,"Sino-Vietnamese Border War",1987,1987
211,"Gulf War",1990,1991
215,"Bosnian Independence",1992,1992
216,"Azeri-Armenian",1993,1994
217,"Cenepa Valley",1995,1995
219,"Badme Border",1998,2000
221,"War for Kosovo",1999,1999
223,"Kargil War",1999,1999
225,"Invasion of Afghanistan",2001,2001
227,"Invasion of Iraq",2003,2003
